id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53119394,Colosseo room only 500mt from the Metro station,9225288,Patrizia,,I Centro Storico,41.88953,12.49592,Private room,117,3,4,2022-07-10,0.40,1,348,4,
53119922,Camera matrimoniale con bagno esterno condiviso.,367167316,Angela,,II Parioli/Nomentano,41.8941,12.51929,Private room,80,3,2,2022-03-22,0.28,2,246,2,
53325501,Appartamento nel centro di Roma,431730792,Raffaele,,I Centro Storico,41.8937,12.46303,Entire home/apt,65,3,28,2022-09-06,3.28,1,285,28,
53224411,Suites Borgo Pio Bilocale,158081687,Valentina,,I Centro Storico,41.90292,12.46024,Entire home/apt,162,1,21,2022-08-20,2.97,4,341,21,
53326181,Guest House Galaxy Camera twin,315445193,Guest House,,I Centro Storico,41.901867,12.505359,Private room,65,1,1,2022-09-08,1,3,353,1,
53326220,Giogio’ al Vaticano guest house,431587914,Ofelia,,I Centro Storico,41.91216,12.44781,Entire home/apt,133,1,15,2022-08-31,1.61,1,84,15,
53224692,Camera Doppia Standard,158081687,Valentina,,I Centro Storico,41.90723,12.47646,Private room,326,1,10,2022-05-14,1.09,4,351,10,
53327091,Testaccio - An authentic Experience in the Centre,12583927,Francesca,,I Centro Storico,41.87935,12.4746,Entire home/apt,104,1,58,2022-09-04,5.88,3,253,58,
53332121,Camera matrimoniale a due passi da San Pietro,430198038,Riccardo,,XIII Aurelia,41.896442,12.449286,Private room,85,1,2,2022-08-18,0.22,4,325,2,
53120615,Spacious typical flat in the heart of Trastevere,430031930,Giuseppe & Clara,,I Centro Storico,41.89032,12.470982,Entire home/apt,263,3,27,2022-09-02,2.89,1,107,27,ATR-004235-2 - QA/2018/11986 - Cir 8361
